close_value,cv_diff_value,cv_diff_rate,cv_ma3_value,cv_ma4_value,cv_ma5_value,cv_ma3_rate,cv_ma4_rate,cv_ma5_rate,ud_3d,ud_4d,ud_5d,cv3d_diff_rate,cv4d_diff_rate,cv5d_diff_rate,cv_diff_rate_rate,Skhynix_cv_diff_value,samsung_cv_diff_value,kosdaq_diff_rate,predict_value
2000,0,0.0,1999,1999,1999,0.0,0.0,-0.05,0,0,0,0.002506266,0.0,0.0,-0.250626566,1100,-23000,1.08,0.002223695904831402
2000,5,0.250626566,2000,2000,2000,0.0,-0.0625,0.0,0,0,0,0.0,0.0,-0.002493766,0.500626566,300,-1000,1.81,0.0008324216796609107
1995,-5,-0.25,2000,2000,2000,-0.166527893,-0.062460962,-0.049975012,0,0,0,0.0,-0.002493766,0.0,-0.25,-400,3000,2.05,-0.0005664975396939553
2000,0,0.0,2001,2001,2001,0.0,0.0,0.0,-1,0,0,-0.004987531,-0.0025,-0.0025,0.249376559,-800,-21000,1.25,-0.00322318660619203
2000,-5,-0.249376559,2001,2001,2001,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.499376559,800,33000,1.2,0.0007690860875300132
2005,5,0.25,2001,2001,2001,0.083333333,0.0625,0.0,0,0,0,0.0,0.0,0.0,0.25,-1100,-14000,0.3,0.002524812429328449
2000,0,0.0,2001,2001,2001,0.0,-0.062460962,-0.04995005,0,0,0,0.0025,0.0025,0.0,0.0,-900,0,-0.44,0.001000174175715074
2000,0,0.0,2002,2002,2002,-0.083263947,-0.062421973,-0.049925112,-1,-1,-1,0.0,-0.002493766,-0.002493766,0.0,1000,-34000,0.37,-0.001979142500204034
2000,0,0.0,2003,2003,2003,-0.083194676,-0.062383032000000005,0.04995005,-1,-1,-1,-0.002493766,-0.002493766,-0.002493766,0.249376559,-1900,-8000,-0.47,-0.003069063910515979
2000,-5,-0.249376559,2002,2002,2002,-0.08312552,0.062421973,0.049975012,-1,-1,0,-0.002493766,-0.002493766,0.002506266,-0.249376559,3100,107000,0.69,-0.0037662605463992804
2005,0,0.0,2001,2001,2001,0.166527893,0.125,0.05,-1,0,0,-0.002493766,0.002506266,0.002506266,0.0,2400,52000,0.3,-0.0021752986940555274
2005,0,0.0,2000,2000,2000,0.166805671,0.06253908700000001,0.10010010000000001,0,0,0,0.005012531,0.005012531,0.0025,-0.501253133,1400,48000,0.8,0.003685407296870835
2005,10,0.501253133,1998,1998,1998,0.083472454,0.125234815,0.050075113,0,0,0,0.005012531,0.0025,0.005012531,0.501253133,-300,34000,0.57,0.003916840683814371
1995,0,0.0,1997,1997,1997,0.0,-0.062578223,-0.05005005,0,0,0,0.0025,0.005012531,0.0025,0.25,-3000,-75000,-1.59,-0.0002055770019069314
1995,-5,-0.25,1998,1998,1998,-0.083402836,-0.06253908700000001,-0.14992503699999998,0,0,0,0.0,-0.0025,-0.0025,-0.500626566,-100,-7000,0.73,0.0008952137341111666
2000,5,0.250626566,2001,2001,2001,0.0,-0.124921924,-0.04995005,0,0,0,-0.0025,-0.0025,-0.007462687,0.500626566,-2900,-13000,0.84,0.0012807786697521806
1995,-5,-0.25,2002,2002,2002,-0.24958402699999999,-0.12476606400000001,-0.099800399,0,0,0,0.0,-0.004975124,-0.002493766,-0.25,3500,23000,0.76,-0.0011129326303489506
2000,0,0.0,2004,2004,2004,-0.08312552,-0.06234414,-0.099700897,-1,0,0,-0.007462687,-0.004987531,-0.004987531,0.49751243799999995,2200,43000,0.37,-0.005132321908604354
2000,-10,-0.49751243799999995,2006,2006,2006,-0.083056478,-0.12453300099999999,-0.04982561,0,0,0,-0.002493766,-0.002493766,-0.004975124,-0.746888997,-1900,-89000,1.18,-0.0003418093838263303
2010,5,0.249376559,2007,2007,2007,0.0,0.062305295999999996,0.0,0,0,0,-0.002493766,-0.004975124,-0.002493766,0.249376559,-2600,-2000,0.32,0.002731247601332143
2005,0,0.0,2007,2007,2007,0.0,-0.062266500999999995,-0.049800797,0,0,0,0.0,0.002493766,0.0,0.24875621899999997,-700,44000,0.13,-0.0005203709079069085
2005,-5,-0.24875621899999997,2008,2008,2008,-0.082987552,-0.062227754,-0.049776008,0,0,0,0.0,-0.002487562,-0.002487562,-0.49813277799999994,-1900,-4000,-2.14,0.001147360511822626
2010,5,0.249376559,2009,2009,2009,0.0,0.0,0.099651221,0,0,0,-0.002487562,-0.002487562,-0.002487562,0.49813277799999994,-2400,-40000,-1.71,0.00121070264140144
2005,-5,-0.24875621899999997,2007,2007,2007,-0.08291874,0.062266500999999995,-0.049800797,0,0,0,0.0,0.0,0.005,-0.24875621899999997,-600,8000,-0.47,-0.0005310293054208159
2010,0,0.0,2008,2008,2008,0.166112957,0.0,-0.049776008,-1,0,0,-0.002487562,0.0025,-0.002487562,0.0,400,92000,0.37,-0.0018950755656987894
2010,0,0.0,2009,2009,2009,0.0,-0.062227754,0.0,0,0,0,0.005,0.0,-0.00248139,-0.5,5800,76000,-0.04,0.0030613976414315403
2010,10,0.5,2009,2009,2009,-0.082987552,0.0,0.0,0,0,0,0.0,-0.00248139,0.0,0.997512438,-300,1000,0.48,0.000924293100979412
2000,-10,-0.49751243799999995,2009,2009,2009,-0.165700083,-0.12430080800000001,-0.09945300800000001,0,0,0,-0.00248139,0.0,0.0,-0.24937348,800,-21000,0.69,-0.0037051746403449215
2010,-5,-0.24813895800000002,2011,2011,2011,0.0,0.0,-0.099354198,0,0,0,-0.004975124,-0.004975124,-0.004975124,-0.496895177,300,1000,0.5,0.0008390880866500083
2015,5,0.24875621899999997,2013,2013,2013,0.08291874,-0.062111800999999994,0.0,0,0,0,0.0,0.0,-0.004950495,0.24875621899999997,-4200,-98000,0.31,0.0029517123475670815
2010,0,0.0,2013,2013,2013,-0.165562914,-0.062073246,-0.09925558300000001,0,0,0,0.002487562,-0.0024752479999999998,0.0,0.0,3200,31000,-1.02,0.00042571677477099
2010,0,0.0,2015,2015,2015,-0.082712986,-0.12399256,0.0,-1,0,0,-0.004950495,-0.00248139,-0.004950495,0.495049505,0,10000,-1.56,-0.004809299191038008
2010,-10,-0.495049505,2015,2015,2015,-0.165152766,0.0,0.049652432999999996,0,0,0,-0.00248139,-0.004950495,0.0,-0.743188463,2400,29000,-1.26,-0.0009369707549922168
2020,5,0.24813895800000002,2014,2014,2014,0.165425972,0.18633540399999998,0.149179513,0,0,0,-0.004950495,0.0,0.002493766,0.49566371,1500,5000,-2.69,0.0006642473017564043
2015,-5,-0.247524752,2011,2011,2011,0.165700083,0.124378109,0.04975124400000001,0,0,0,0.004975124,0.007481297,0.007481297,-0.74503719,-500,-18000,-0.76,0.0024473773228237405
2020,10,0.49751243799999995,2010,2010,2010,0.249169435,0.12453300099999999,0.149476831,0,0,0,0.004987531,0.004987531,0.002487562,0.24813587899999998,2500,104000,0.09,0.004998379561584443
2010,5,0.249376559,2007,2007,2007,0.0,0.062305295999999996,-0.049800797,0,0,0,0.007481297,0.004975124,0.007481297,0.249376559,400,5000,0.04,0.0023109129215299617
2005,0,0.0,2008,2008,2008,0.0,-0.12445550699999999,-0.149179513,0,0,0,0.0,0.002493766,-0.00248139,0.24875621899999997,1100,34000,0.32,-0.0007725717296125367
2005,-5,-0.24875621899999997,2011,2011,2011,-0.165837479,-0.18633540399999998,-0.049701789,0,0,0,0.0,-0.0049627790000000005,-0.007425743,-0.49813277799999994,1000,1000,0.68,0.0007410370017169043
2010,5,0.249376559,2012,2012,2012,-0.165562914,0.0,0.09950248800000001,0,0,0,-0.0049627790000000005,-0.007425743,-0.002487562,0.745654475,900,-10000,0.82,-0.0007367811340373009
2005,-10,-0.49627791600000004,2010,2010,2010,-0.082712986,0.062150404000000006,-0.049726504000000005,0,0,0,-0.004950495,0.0,0.005,-0.248753164,1200,36000,1.11,-0.0037501443293876946
2015,-5,-0.247524752,2011,2011,2011,0.24875621899999997,0.062189055,0.099552016,0,0,0,-0.002487562,0.0025,-0.002487562,-0.74503719,1200,48000,-0.54,0.0022091876599006355
2020,10,0.49751243799999995,2009,2009,2009,0.166112957,0.186915888,0.149551346,0,0,0,0.0075,0.002487562,0.004987531,-0.002487562,-300,56000,1.76,0.00689441803842783
2010,10,0.5,2006,2006,2006,0.08312552,0.06234414,0.049875312000000005,0,0,0,0.004975124,0.007481297,0.007481297,0.997512438,1800,12000,-0.02,0.0006300588138401508
2000,-10,-0.49751243799999995,2005,2005,2005,-0.083056478,-0.062305295999999996,-0.049850449000000005,0,0,0,0.002493766,0.002493766,0.002493766,-0.746888997,1800,36000,-1.18,-0.0008602221496403217
2010,5,0.249376559,2006,2006,2006,0.08312552,0.06234414,0.099800399,0,0,0,-0.002493766,-0.002493766,-0.002493766,0.249376559,-600,-22000,-2.1,0.0024510244838893414
2005,0,0.0,2004,2004,2004,0.0,0.062383032000000005,-0.049875312000000005,0,0,0,0.002493766,0.002493766,0.005,0.0,100,8000,0.34,0.000860062613583068
2005,0,0.0,2005,2005,2005,0.083194676,-0.06234414,-0.049850449000000005,-1,0,0,0.0,0.0025,-0.002487562,0.0,100,6000,0.2,-0.001853042096399804
2005,0,0.0,2006,2006,2006,-0.08312552,-0.062305295999999996,0.0,0,0,0,0.0025,-0.002487562,-0.002487562,-0.25,900,6000,0.37,0.002247958822408691
2005,5,0.25,2006,2006,2006,-0.083056478,0.0,-0.099601594,0,0,0,-0.002487562,-0.002487562,0.0,0.747512438,-300,-1000,-0.24,-0.0005723224858229514
2000,-10,-0.49751243799999995,2008,2008,2008,-0.082987552,-0.18656716399999998,-0.09950248800000001,0,0,0,-0.002487562,0.0,-0.0049627790000000005,-0.49751243799999995,-500,-46000,-0.65,-0.0020342104689916596
2010,0,0.0,2010,2010,2010,-0.08291874,0.0,0.049776008,0,0,0,-0.002493766,-0.0074441690000000005,-0.004975124,-0.249376559,300,-25000,-0.02,0.002328285223484272
2010,5,0.249376559,2009,2009,2009,0.0,0.062227754,0.099651221,0,0,0,-0.00248139,0.0,0.002493766,0.745654475,100,2000,1.07,-0.0006246918817396363
2005,-10,-0.49627791600000004,2007,2007,2007,0.0,0.062266500999999995,0.049850449000000005,0,0,0,0.0,0.002493766,0.005,-0.745034135,-200,24000,0.34,-0.0005763310073234607
2015,5,0.24875621899999997,2006,2006,2006,0.249376559,0.187149095,0.099800399,0,0,0,0.0,0.0025,0.0025,-0.00062034,1000,8000,0.82,0.003719376999015367
2010,5,0.249376559,2004,2004,2004,0.166527893,0.062421973,0.0999001,1,0,0,0.0075,0.0075,0.004987531,-0.000623441,200,-3000,-0.83,0.0065520254747752915
2005,5,0.25,2002,2002,2002,0.0,0.062460962,0.0,0,0,0,0.005,0.002493766,0.005,0.25,600,-7000,0.52,0.002286622766405344
2000,0,0.0,2002,2002,2002,0.0,-0.062421973,0.0,0,0,0,0.0,0.0025,0.0,0.249376559,300,42000,0.7,-0.0006642046173510607
2000,-5,-0.249376559,2002,2002,2002,-0.083194676,0.0,-0.099800399,0,0,0,0.0,-0.002493766,0.0,-0.499376559,1000,60000,0.26,0.0007410637772409245
2005,5,0.25,2004,2004,2004,0.083263947,-0.062383032000000005,-0.099700897,0,0,0,-0.002493766,0.0,-0.004975124,0.499376559,3700,19000,0.93,0.00035603210562840104
2000,-5,-0.249376559,2006,2006,2006,-0.16625103900000002,-0.186799502,-0.149328024,0,0,0,0.0025,-0.002487562,-0.0049627790000000005,-0.499376559,-3000,-64000,-1.48,0.001301510026678443
2005,5,0.25,2009,2009,2009,-0.165975104,-0.124378109,0.049800797,0,0,0,-0.004975124,-0.0074441690000000005,-0.0074441690000000005,0.747512438,200,-19000,-1.02,-0.0006423782697311253
2000,-10,-0.49751243799999995,2008,2008,2008,-0.248344371,0.0,-0.09950248800000001,0,0,0,-0.0049627790000000005,-0.0049627790000000005,0.0025,-0.24937348,-2100,-72000,-1.31,-0.003298851108411327
2010,-5,-0.24813895800000002,2010,2010,2010,0.165837479,0.0,0.099601594,-1,0,0,-0.0074441690000000005,0.0,-0.004975124,-0.24813895800000002,2200,7000,0.02,-0.003632751351688057
2015,0,0.0,2008,2008,2008,0.082987552,0.186915888,0.149625935,0,0,0,0.005,0.0,0.005,-0.75,100,-6000,0.74,0.005360019113368253
