close_value,cv_diff_value,cv_diff_rate,cv_ma3_value,cv_ma4_value,cv_ma5_value,cv_ma3_rate,cv_ma4_rate,cv_ma5_rate,ud_3d,ud_4d,ud_5d,cv3d_diff_rate,cv4d_diff_rate,cv5d_diff_rate,cv_diff_rate_rate,Skhynix_cv_diff_value,samsung_cv_diff_value,kosdaq_diff_rate
1995,0,0,1997,1997,1997,0,-0.062578223,-0.05005005,0,0,0,0.0025,0.005012531,0.0025,0.25,-3000,-75000,-1.59
1995,-5,-0.25,1998,1998,1998,-0.083402836,-0.062539087,-0.149925037,0,0,0,0,-0.0025,-0.0025,-0.500626566,-100,-7000,0.73
2000,5,0.250626566,2001,2001,2001,0,-0.124921924,-0.04995005,0,0,0,-0.0025,-0.0025,-0.007462687,0.500626566,-2900,-13000,0.84
1995,-5,-0.25,2002,2002,2002,-0.249584027,-0.124766064,-0.099800399,0,0,0,0,-0.004975124,-0.002493766,-0.25,3500,23000,0.76
2000,0,0,2004,2004,2004,-0.08312552,-0.06234414,-0.099700897,-1,0,0,-0.007462687,-0.004987531,-0.004987531,0.497512438,2200,43000,0.37
2000,-10,-0.497512438,2006,2006,2006,-0.083056478,-0.124533001,-0.04982561,0,0,0,-0.002493766,-0.002493766,-0.004975124,-0.746888997,-1900,-89000,1.18
2010,5,0.249376559,2007,2007,2007,0,0.062305296,0,0,0,0,-0.002493766,-0.004975124,-0.002493766,0.249376559,-2600,-2000,0.32
2005,0,0,2007,2007,2007,0,-0.062266501,-0.049800797,0,0,0,0,0.002493766,0,0.248756219,-700,44000,0.13
2005,-5,-0.248756219,2008,2008,2008,-0.082987552,-0.062227754,-0.049776008,0,0,0,0,-0.002487562,-0.002487562,-0.498132778,-1900,-4000,-2.14
2010,5,0.249376559,2009,2009,2009,0,0,0.099651221,0,0,0,-0.002487562,-0.002487562,-0.002487562,0.498132778,-2400,-40000,-1.71
2005,-5,-0.248756219,2007,2007,2007,-0.08291874,0.062266501,-0.049800797,0,0,0,0,0,0.005,-0.248756219,-600,8000,-0.47
2010,0,0,2008,2008,2008,0.166112957,0,-0.049776008,-1,0,0,-0.002487562,0.0025,-0.002487562,0,400,92000,0.37
2010,0,0,2009,2009,2009,0,-0.062227754,0,0,0,0,0.005,0,-0.00248139,-0.5,5800,76000,-0.04
